"id","word","jyutping","meaning","english","example","sentenceJyutping","translation","sentenceEnglish","category","difficulty","level","femaleAudio","maleAudio","femaleSentenceAudio","maleSentenceAudio"
"1","你好","nei5 hou2","你好","hello","你好，好耐冇見。","","你好，很久不见。","Hello, long time no see.","问候与礼貌","1","入门","001-female.mp3","001-male.mp3","",""
"2","早晨","zou2 san4","早上好","good morning","早晨，你今日好嗎？","","早上好，你今天好吗？","Good morning. How are you today?","问候与礼貌","1","入门","002-female.mp3","002-male.mp3","",""
"3","唔該","m4 goi1","请；谢谢（劳务）","please; thank you (for a service)","唔該俾杯水我。","","请给我一杯水。","Please give me a glass of water.","问候与礼貌","1","入门","003-female.mp3","003-male.mp3","",""
"4","多謝","do1 ze6","谢谢（礼物或帮助）","thank you (for a gift or help)","多謝你幫我。","","谢谢你帮助我。","Thank you for helping me.","问候与礼貌","1","入门","004-female.mp3","004-male.mp3","",""
"5","對唔住","deoi3 m4 zyu6","对不起","sorry","對唔住，我遲到。","","对不起，我迟到了。","Sorry, I am late.","问候与礼貌","1","入门","005-female.mp3","005-male.mp3","",""
"6","冇問題","mou5 man6 tai4","没问题","no problem","冇問題，我可以幫你。","","没问题，我可以帮你。","No problem. I can help you.","问候与礼貌","1","入门","006-female.mp3","006-male.mp3","",""
"7","再見","zoi3 gin3","再见","goodbye","我哋聽日再見。","","我们明天再见。","See you tomorrow.","问候与礼貌","1","入门","007-female.mp3","007-male.mp3","",""
"8","拜拜","baai1 baai3","拜拜","bye-bye","好啦，拜拜。","","好了，拜拜。","All right, bye-bye.","问候与礼貌","1","入门","008-female.mp3","008-male.mp3","",""
"9","係","hai6","是","to be; yes","我係香港人。","","我是香港人。","I am from Hong Kong.","日常交流","1","入门","009-female.mp3","009-male.mp3","",""
"10","唔係","m4 hai6","不是","not; no","呢個唔係我嘅。","","这个不是我的。","This is not mine.","日常交流","1","入门","010-female.mp3","010-male.mp3","",""
"11","有","jau5","有","to have; there is","我有時間。","","我有时间。","I have time.","日常交流","1","入门","011-female.mp3","011-male.mp3","",""
"12","冇","mou5","没有","not have; there isn't","我今日冇時間。","","我今天没有时间。","I do not have time today.","日常交流","1","入门","012-female.mp3","012-male.mp3","",""
"13","唔知","m4 zi1","不知道","don't know","我唔知佢喺邊度。","","我不知道他在哪里。","I don't know where he is.","日常交流","1","入门","013-female.mp3","013-male.mp3","",""
"14","明白","ming4 baak6","明白","understand","我明白你嘅意思。","","我明白你的意思。","I understand what you mean.","日常交流","1","入门","014-female.mp3","014-male.mp3","",""
